Date,AAPL,MSFT,NVDA,TSLA,VOO,AMZN,GOOGL,META,BRK-B,JPM
2025-04-10,190.4199981689453,381.3500061035156,107.56999969482422,252.39999389648438,482.05999755859375,181.22000122070312,152.82000732421875,546.2899780273438,515.8099975585938,227.11000061035156
2025-04-11,198.14999389648438,388.45001220703125,110.93000030517578,252.30999755859375,490.54998779296875,184.8699951171875,157.13999938964844,543.5700073242188,524.1099853515625,236.1999969482422
2025-04-14,202.52000427246094,387.80999755859375,110.70999908447266,252.35000610351562,495.4800109863281,182.1199951171875,159.07000732421875,531.47998046875,529.52001953125,234.72000122070312
2025-04-15,202.13999938964844,385.7300109863281,112.19999694824219,254.11000061035156,494.0899963378906,179.58999633789062,156.30999755859375,521.52001953125,528.1699829101562,233.1300048828125
2025-04-16,194.27000427246094,371.6099853515625,104.48999786376953,241.5500030517578,483.2300109863281,174.3300018310547,153.3300018310547,502.30999755859375,516.4500122070312,229.61000061035156
2025-04-17,196.97999572753906,367.7799987792969,101.48999786376953,241.3699951171875,483.8999938964844,172.61000061035156,151.16000366210938,501.4800109863281,518.2100219726562,231.9600067138672
2025-04-21,193.16000366210938,359.1199951171875,96.91000366210938,227.5,472.3699951171875,167.32000732421875,147.6699981689453,484.6600036621094,506.9200134277344,228.99000549316406
2025-04-22,199.74000549316406,366.82000732421875,98.88999938964844,237.97000122070312,484.2900085449219,173.17999267578125,151.47000122070312,500.2799987792969,520.7899780273438,235.58999633789062
2025-04-23,204.60000610351562,374.3900146484375,102.70999908447266,250.74000549316406,492.07000732421875,180.60000610351562,155.35000610351562,520.27001953125,526.8099975585938,240.8800048828125
2025-04-24,208.3699951171875,387.29998779296875,106.43000030517578,259.510009765625,502.4100036621094,186.5399932861328,159.27999877929688,533.1500244140625,531.6400146484375,244.63999938964844
2025-04-25,209.27999877929688,391.8500061035156,111.01000213623047,284.95001220703125,506.1099853515625,188.99000549316406,161.9600067138672,547.27001953125,530.9600219726562,243.5500030517578
2025-04-28,210.13999938964844,391.1600036621094,108.7300033569336,285.8800048828125,506.4200134277344,187.6999969482422,160.61000061035156,549.739990234375,530.9400024414062,243.22000122070312
2025-04-29,211.2100067138672,394.0400085449219,109.0199966430664,292.0299987792969,509.489990234375,187.38999938964844,160.16000366210938,554.4400024414062,534.5700073242188,244.6199951171875
2025-04-30,212.5,395.260009765625,108.91999816894531,282.1600036621094,509.739990234375,184.4199981689453,158.8000030517578,549.0,533.25,244.6199951171875
2025-05-01,213.32000732421875,425.3999938964844,111.61000061035156,280.5199890136719,513.3499755859375,190.1999969482422,161.3000030517578,572.2100219726562,530.22998046875,246.88999938964844
2025-05-02,205.35000610351562,435.2799987792969,114.5,287.2099914550781,520.7100219726562,189.97999572753906,164.02999877929688,597.02001953125,539.7999877929688,252.50999450683594
2025-05-05,198.88999938964844,436.1700134277344,113.81999969482422,280.260009765625,517.989990234375,186.35000610351562,164.2100067138672,599.27001953125,512.1500244140625,252.55999755859375
2025-05-06,198.50999450683594,433.30999755859375,113.54000091552734,275.3500061035156,513.5800170898438,185.00999450683594,163.22999572753906,587.3099975585938,512.3300170898438,249.25
2025-05-07,196.25,433.3500061035156,117.05999755859375,276.2200012207031,515.9000244140625,188.7100067138672,151.3800048828125,596.8099975585938,518.219970703125,249.38999938964844
2025-05-08,197.49000549316406,438.1700134277344,117.37000274658203,284.82000732421875,519.3400268554688,192.0800018310547,154.27999877929688,598.010009765625,513.25,253.47000122070312
2025-05-09,198.52999877929688,438.7300109863281,116.6500015258789,298.260009765625,518.6500244140625,193.05999755859375,152.75,592.489990234375,513.739990234375,253.0800018310547
2025-05-12,210.7899932861328,449.260009765625,123.0,318.3800048828125,535.9199829101562,208.63999938964844,158.4600067138672,639.4299926757812,514.2999877929688,260.04998779296875
2025-05-13,212.92999267578125,449.1400146484375,129.92999267578125,334.07000732421875,539.4400024414062,211.3699951171875,159.52999877929688,656.030029296875,511.8800048828125,263.010009765625
2025-05-14,212.3300018310547,452.94000244140625,135.33999633789062,347.67999267578125,540.1099853515625,210.25,165.3699951171875,659.3599853515625,503.3999938964844,265.6400146484375
2025-05-15,211.4499969482422,453.1300048828125,134.8300018310547,342.82000732421875,542.760009765625,205.1699981689453,163.9600067138672,643.8800048828125,507.3299865722656,267.489990234375
2025-05-16,211.25999450683594,454.2699890136719,135.39999389648438,349.9800109863281,546.260009765625,205.58999633789062,166.19000244140625,640.3400268554688,514.3099975585938,267.55999755859375
2025-05-19,208.77999877929688,458.8699951171875,135.57000732421875,342.0899963378906,546.8200073242188,206.16000366210938,166.5399932861328,640.4299926757812,512.3900146484375,264.8800048828125
2025-05-20,206.86000061035156,458.1700134277344,134.3800048828125,343.82000732421875,544.8800048828125,204.07000732421875,163.97999572753906,637.0999755859375,508.739990234375,265.67999267578125
2025-05-21,202.08999633789062,452.57000732421875,131.8000030517578,334.6199951171875,535.77001953125,201.1199951171875,168.55999755859375,635.5,507.0299987792969,261.0400085449219
2025-05-22,201.36000061035156,454.8599853515625,132.8300018310547,341.0400085449219,536.02001953125,203.10000610351562,170.8699951171875,636.5700073242188,503.57000732421875,260.6700134277344
2025-05-23,195.27000427246094,450.17999267578125,131.2899932861328,339.3399963378906,532.4000244140625,200.99000549316406,168.47000122070312,627.0599975585938,503.4599914550781,260.7099914550781
2025-05-27,200.2100067138672,460.69000244140625,135.5,362.8900146484375,543.3400268554688,206.02000427246094,172.89999389648438,642.3200073242188,509.1600036621094,265.2900085449219
2025-05-28,200.4199981689453,457.3599853515625,134.80999755859375,356.8999938964844,540.239990234375,204.72000122070312,172.36000061035156,643.5800170898438,503.1099853515625,263.489990234375
2025-05-29,199.9499969482422,458.67999267578125,139.19000244140625,358.42999267578125,542.3200073242188,205.6999969482422,171.86000061035156,645.0499877929688,506.17999267578125,264.3699951171875
2025-05-30,200.85000610351562,460.3599853515625,135.1300048828125,346.4599914550781,541.760009765625,205.00999450683594,171.74000549316406,647.489990234375,503.9599914550781,264.0
2025-06-02,201.6999969482422,461.9700012207031,137.3800048828125,342.69000244140625,544.9099731445312,206.64999389648438,169.02999877929688,670.9000244140625,502.80999755859375,264.6600036621094
2025-06-03,203.27000427246094,462.9700012207031,141.22000122070312,344.2699890136719,548.0,205.7100067138672,166.17999267578125,666.8499755859375,497.8299865722656,266.2699890136719
2025-06-04,202.82000732421875,463.8699951171875,141.9199981689453,332.04998779296875,547.6500244140625,207.22999572753906,168.0500030517578,687.9500122070312,491.0,264.2200012207031
2025-06-05,200.6300048828125,467.67999267578125,139.99000549316406,284.70001220703125,545.0900268554688,207.91000366210938,168.2100067138672,684.6199951171875,488.739990234375,261.95001220703125
2025-06-06,203.9199981689453,470.3800048828125,141.72000122070312,295.1400146484375,550.6599731445312,213.57000732421875,173.67999267578125,697.7100219726562,493.5299987792969,265.7300109863281
2025-06-09,201.4499969482422,472.75,142.6300048828125,308.5799865722656,551.25,216.97999572753906,176.08999633789062,694.0599975585938,493.3299865722656,266.739990234375
2025-06-10,202.6699981689453,470.9200134277344,143.9600067138672,326.0899963378906,554.3900146484375,217.61000061035156,178.60000610351562,702.4000244140625,491.1300048828125,268.6000061035156
